French,English
partie,part
police,police
pensais,thought
aide,help
demande,request
genre,kind
laisser,let
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
parle,speak
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
train,train
corps,body
endroit,place
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
enfant,child
point,point
venu,came
pardon,sorry
venez,come
vers,towards
minutes,minutes
belle,beautiful
aimerais,would like to
mari,husband
cause,cause
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
aura,will have
filles,girls
jouer,to play
bureau,office
